episode,time,task,fatigue,skill_level,semaphore_state,sampling_rate,robot_active,collision
0,0,rest,28.372535614758423,2,green,5.0,False,False
0,15,hmi_supervision,38.422535614758424,2,orange,2.0,False,False
0,30,material_delivery,52.37253561475843,3,red,0.1,True,False
0,45,packaging,68.42253561475843,4,red,0.1,True,False
1,0,rest,27.89630177412161,2,green,5.0,False,False
1,15,hmi_supervision,37.94630177412161,2,orange,2.0,False,False
1,30,material_delivery,51.89630177412161,3,red,0.1,True,False
1,45,packaging,67.94630177412161,4,red,0.1,True,False
2,0,rest,27.8243849689575,2,green,5.0,False,False
2,15,hmi_supervision,37.8743849689575,2,orange,2.0,False,False
2,30,material_delivery,51.8243849689575,3,red,0.1,True,False
2,45,packaging,67.8743849689575,4,red,0.1,True,False
3,0,rest,27.824397282288114,2,green,5.0,False,False
3,15,hmi_supervision,37.874397282288115,2,orange,2.0,False,False
3,30,material_delivery,51.82439728228812,3,red,0.1,True,False
3,45,packaging,67.87439728228811,4,red,0.1,True,False
4,0,rest,29.184409611630542,2,green,5.0,False,False
4,15,hmi_supervision,39.23440961163054,2,orange,2.0,False,False
4,30,material_delivery,53.18440961163054,3,red,0.1,True,False
4,45,packaging,69.23440961163054,4,red,0.1,True,False
5,0,rest,28.575576046864683,2,green,5.0,False,False
5,15,hmi_supervision,38.62557604686468,2,orange,2.0,False,False
5,30,material_delivery,52.57557604686468,3,red,0.1,True,False
5,45,packaging,68.62557604686468,4,red,0.1,True,False
6,0,rest,27.647894210548785,2,green,5.0,False,False
6,15,hmi_supervision,37.69789421054878,2,orange,2.0,False,False
6,30,material_delivery,51.647894210548785,3,red,0.1,True,False
6,45,packaging,67.69789421054878,4,red,0.1,True,False
7,0,rest,28.406920032689474,2,green,5.0,False,False
7,15,hmi_supervision,38.456920032689474,2,orange,2.0,False,False
7,30,material_delivery,52.40692003268948,3,red,0.1,True,False
7,45,packaging,68.45692003268948,4,red,0.1,True,False
8,0,rest,28.181471703674525,2,green,5.0,False,False
8,15,hmi_supervision,38.23147170367453,2,orange,2.0,False,False
8,30,material_delivery,52.18147170367453,3,red,0.1,True,False
8,45,packaging,68.23147170367453,4,red,0.1,True,False
9,0,rest,26.56503981650665,2,green,5.0,False,False
9,15,hmi_supervision,36.61503981650665,2,orange,2.0,False,False
9,30,material_delivery,50.565039816506655,3,red,0.1,True,False
9,45,packaging,66.61503981650665,4,red,0.1,True,False
10,0,rest,27.24037665974918,2,green,5.0,False,False
10,15,hmi_supervision,37.290376659749185,2,orange,2.0,False,False
10,30,material_delivery,51.24037665974919,3,red,0.1,True,False
10,45,packaging,67.29037665974919,4,red,0.1,True,False
